dataset,regime,n_test_hours,n_event_hours,event_hour_rate,n_true_events,mean_duration_h,median_duration_h,p90_duration_h,max_duration_h,singleton_rate,multi_hour_rate,four_plus_rate,spike_thr_train
LAGO_DE,negative,10440,194,0.0185823754789272,47,4.127659574468085,3.0,8.0,17,0.2765957446808511,0.723404255319149,0.425531914893617,77.74559999999998
LAGO_DE,spike,10440,198,0.01896551724137931,41,4.829268292682927,2.0,14.0,16,0.3902439024390244,0.6097560975609756,0.34146341463414637,77.74559999999998
LAGO_DE,negative,10440,194,0.0185823754789272,47,4.127659574468085,3.0,8.0,17,0.2765957446808511,0.723404255319149,0.425531914893617,77.74559999999998
LAGO_DE,spike,10440,198,0.01896551724137931,41,4.829268292682927,2.0,14.0,16,0.3902439024390244,0.6097560975609756,0.34146341463414637,77.74559999999998
LAGO_BE,negative,10440,2,0.00019157088122605365,2,1.0,1.0,1.0,1,1.0,0.0,0.0,89.88789999999995
LAGO_BE,spike,10440,167,0.01599616858237548,47,3.5531914893617023,2.0,7.399999999999999,15,0.3617021276595745,0.6382978723404256,0.3191489361702128,89.88789999999995
LAGO_BE,negative,10440,2,0.00019157088122605365,2,1.0,1.0,1.0,1,1.0,0.0,0.0,89.88789999999995
LAGO_BE,spike,10440,167,0.01599616858237548,47,3.5531914893617023,2.0,7.399999999999999,15,0.3617021276595745,0.6382978723404256,0.3191489361702128,89.88789999999995
LAGO_FR,negative,10440,2,0.00019157088122605365,1,2.0,2.0,2.0,2,0.0,1.0,0.0,91.40711999999999
LAGO_FR,spike,10440,113,0.010823754789272031,38,2.973684210526316,2.0,5.300000000000004,14,0.42105263157894735,0.5789473684210527,0.23684210526315788,91.40711999999999
LAGO_FR,negative,10440,2,0.00019157088122605365,1,2.0,2.0,2.0,2,0.0,1.0,0.0,91.40711999999999
LAGO_FR,spike,10440,113,0.010823754789272031,38,2.973684210526316,2.0,5.300000000000004,14,0.42105263157894735,0.5789473684210527,0.23684210526315788,91.40711999999999
LAGO_PJM,negative,10440,60,0.005747126436781609,18,3.3333333333333335,3.0,6.0,7,0.16666666666666666,0.8333333333333334,0.3888888888888889,114.50219567999999
LAGO_PJM,spike,10440,11,0.001053639846743295,6,1.8333333333333333,2.0,2.5,3,0.3333333333333333,0.6666666666666666,0.0,114.50219567999999
LAGO_PJM,negative,10440,60,0.005747126436781609,18,3.3333333333333335,3.0,6.0,7,0.16666666666666666,0.8333333333333334,0.3888888888888889,114.50219567999999
