protocol_id,market,host,method,setting,split,status,mae,relative_gain_vs_host_pct,paper_use_scope,data_adjudication,n_registered_test_days,n_scored_test_days,n_unscorable_missing_target_days,metric_source,source_pointer,blocker_class,blocker_code,blocker_reason,historical_status,reuse_basis,execution_status,new_fit_count
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,PatchTST,UEC-STD,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-FIDELITY,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,PatchTST,OMPB,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-DATA,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,TimeMixer,UEC-STD,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-FIDELITY,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,TimeMixer,OMPB,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-DATA,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,iTransformer,PIR,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-INCOMPATIBLE,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,iTransformer,UEC-STD,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-FIDELITY,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,iTransformer,OMPB,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-DATA,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,LSTM,PIR,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-INCOMPATIBLE,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,LSTM,UEC-STD,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-FIDELITY,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
COMMON_BENCHMARK_701020_FULL_V2,GANSU_DA,LSTM,OMPB,BLOCKED,TEST,BLOCKED,,,BLOCKED,V2_MISSING_TARGET_SCORABILITY_ADJUDICATION_20260913,83,83,0,INHERITED_BLOCKER,experiments/evidence/hch_china5_common_benchmark_701020_full_v2_20260913/10_missing_target_adjudication/INHERITED_BLOCKERS.csv,Q-DATA,,,INHERITED_BLOCKER,FROZEN_BLOCKER,NOT_AUTHORIZED_NO_RERUN,0
