Timestamp,NO1,NO2,NO3,NO4,NO5
2022-01-01 00:00:00,132.89,132.89,46.6,46.6,132.89
2022-01-01 01:00:00,129.3,129.3,41.33,41.33,129.3
2022-01-01 02:00:00,132.08,132.08,42.18,42.18,132.08
2022-01-01 03:00:00,111.44,111.44,44.37,44.37,111.44
2022-01-01 04:00:00,112.35,112.35,37.67,37.67,112.35
2022-01-01 05:00:00,113.9,113.9,39.7,39.7,113.9
2022-01-01 06:00:00,122.25,122.25,40.59,40.59,122.25
2022-01-01 07:00:00,118.58,118.58,43.26,43.26,118.58
2022-01-01 08:00:00,118.47,118.47,49.44,49.44,118.47
2022-01-01 09:00:00,117.86,117.86,49.46,49.46,117.86
2022-01-01 10:00:00,120.03,120.03,49.27,49.27,120.03
2022-01-01 11:00:00,117.07,117.07,48.89,48.89,117.07
2022-01-01 12:00:00,117.17,117.17,48.45,48.45,117.17
2022-01-01 13:00:00,120.08,120.08,44.21,44.21,120.08
2022-01-01 14:00:00,124.54,124.54,42.38,42.38,124.54
2022-01-01 15:00:00,124.89,124.89,42.09,42.09,124.89
2022-01-01 16:00:00,135.59,135.59,42.3,42.3,135.59
2022-01-01 17:00:00,149.97,149.97,40.59,40.59,149.97
2022-01-01 18:00:00,150.71,150.71,40.11,40.11,150.71
2022-01-01 19:00:00,143.81,143.81,38.52,38.52,143.81
2022-01-01 20:00:00,140.36,140.36,34.71,34.71,140.36
2022-01-01 21:00:00,139.85,139.85,32.48,32.48,139.85
2022-01-01 22:00:00,135.08,135.08,32.88,32.88,135.08
2022-01-01 23:00:00,123.42,123.42,32.44,32.44,123.42
2022-01-02 00:00:00,113.56,113.56,32.03,32.03,113.56
2022-01-02 01:00:00,111.66,111.66,31.78,31.78,111.66
2022-01-02 02:00:00,106.53,106.53,31.8,31.8,106.53
2022-01-02 03:00:00,104.5,104.5,31.89,31.89,104.5
2022-01-02 04:00:00,104.06,104.06,29.56,29.56,104.06
2022-01-02 05:00:00,105.86,105.86,31.97,31.97,105.86
2022-01-02 06:00:00,111.97,111.97,31.66,31.66,111.97
2022-01-02 07:00:00,105.22,105.22,32.28,32.28,105.22
2022-01-02 08:00:00,111.53,111.53,32.93,32.93,111.53
2022-01-02 09:00:00,115.81,115.81,36.31,36.31,115.81
2022-01-02 10:00:00,121.94,121.94,37.29,37.29,121.94
2022-01-02 11:00:00,121.3,121.3,37.5,37.5,121.3
2022-01-02 12:00:00,112.43,112.43,37.49,37.49,112.43
2022-01-02 13:00:00,111.39,111.39,37.49,37.49,111.39
2022-01-02 14:00:00,111.48,111.48,36.97,36.97,111.48
2022-01-02 15:00:00,118.19,118.19,35.95,35.95,118.19
2022-01-02 16:00:00,122.3,122.3,35.03,35.03,122.3
2022-01-02 17:00:00,129.79,129.79,33.21,33.21,129.79
2022-01-02 18:00:00,135.97,135.97,32.95,32.95,135.97
2022-01-02 19:00:00,128.33,128.33,32.91,32.91,128.33
2022-01-02 20:00:00,116.32,116.32,33.25,33.25,116.32
2022-01-02 21:00:00,110.2,110.2,35.27,35.27,110.2
2022-01-02 22:00:00,104.81,104.81,38.97,38.97,104.81
2022-01-02 23:00:00,110.16,110.16,32.93,32.93,110.16
2022-01-03 00:00:00,124.99,124.99,20.89,20.89,124.99
2022-01-03 01:00:00,123.41,123.41,19.92,19.92,123.41
2022-01-03 02:00:00,122.73,122.73,19.87,19.87,122.73
2022-01-03 03:00:00,121.55,121.55,19.82,19.82,121.55
2022-01-03 04:00:00,122.21,122.21,20.26,20.26,122.21
2022-01-03 05:00:00,123.57,123.57,29.35,29.35,123.57
2022-01-03 06:00:00,120.68,120.68,34.93,34.93,120.68
2022-01-03 07:00:00,121.0,121.0,34.83,34.83,121.0
2022-01-03 08:00:00,126.6,126.6,37.02,37.02,126.6
2022-01-03 09:00:00,132.56,132.56,38.76,38.76,132.56
2022-01-03 10:00:00,122.97,122.97,38.81,38.81,122.97
2022-01-03 11:00:00,123.13,123.13,38.89,38.89,123.13
2022-01-03 12:00:00,123.97,123.97,38.94,38.94,123.97
2022-01-03 13:00:00,126.67,126.67,39.92,39.92,126.67
2022-01-03 14:00:00,133.75,133.75,39.94,39.94,133.75
2022-01-03 15:00:00,137.72,137.72,39.95,39.95,137.72
2022-01-03 16:00:00,137.48,137.48,42.41,42.41,137.48
2022-01-03 17:00:00,143.73,143.73,46.38,46.38,143.73
2022-01-03 18:00:00,145.13,145.13,45.7,45.7,145.13
2022-01-03 19:00:00,142.81,142.81,45.2,45.2,142.81
2022-01-03 20:00:00,142.22,142.22,43.84,43.84,142.22
2022-01-03 21:00:00,139.6,139.6,42.57,42.57,139.6
2022-01-03 22:00:00,130.79,130.79,39.45,39.45,130.79
2022-01-03 23:00:00,113.64,113.64,34.4,34.4,113.64
2022-01-04 00:00:00,131.71,131.71,39.91,39.91,131.71
2022-01-04 01:00:00,131.87,131.87,37.04,37.04,131.87
2022-01-04 02:00:00,128.56,128.56,35.04,35.04,128.56
2022-01-04 03:00:00,115.49,115.49,34.97,34.97,115.49
2022-01-04 04:00:00,113.38,113.38,35.18,35.18,113.38
2022-01-04 05:00:00,133.06,133.06,37.09,37.09,133.06
2022-01-04 06:00:00,143.44,143.44,37.08,37.08,143.44
2022-01-04 07:00:00,154.93,154.93,42.92,42.92,154.93
2022-01-04 08:00:00,167.88,167.88,43.9,43.9,167.88
2022-01-04 09:00:00,166.65,166.65,44.65,44.65,166.65
2022-01-04 10:00:00,167.29,167.29,45.06,45.06,167.29
2022-01-04 11:00:00,164.62,164.62,45.95,45.95,164.62
2022-01-04 12:00:00,159.98,159.98,46.84,46.84,159.98
2022-01-04 13:00:00,155.69,155.69,47.0,47.0,155.69
2022-01-04 14:00:00,155.16,155.16,47.43,47.43,155.16
